xflr5 v6.39

Plane name :        Aviao
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x73.3mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -20.000     0.000  -0.854502   0.050982   0.023168   0.074149  -0.000000   0.000000   0.170234   0.000000   0.000000   15.0000     0.1391
  -19.500     0.000  -0.813089   0.047719   0.022721   0.070440  -0.000000   0.000000   0.166735   0.000000   0.000000   15.0000     0.1403
  -19.000     0.000  -0.771502   0.044583   0.022243   0.066826  -0.000000   0.000000   0.163113   0.000000   0.000000   15.0000     0.1416
  -18.500     0.000  -0.729748   0.041577   0.021857   0.063434  -0.000000   0.000000   0.159370   0.000000   0.000000   15.0000     0.1432
  -18.000     0.000  -0.687833   0.038705   0.031066   0.069771  -0.000000   0.000000   0.155615   0.000000   0.000000   15.0000     0.1449
  -17.500     0.000  -0.645764   0.035968   0.030320   0.066288  -0.000000   0.000000   0.151624   0.000000   0.000000   15.0000     0.1469
  -17.000     0.000  -0.603549   0.033370   0.039186   0.072556  -0.000000   0.000000   0.147610   0.000000   0.000000   15.0000     0.1491
  -16.500     0.000  -0.561194   0.030914   0.047749   0.078663  -0.000000   0.000000   0.143464   0.000000   0.000000   15.0000     0.1518
  -16.000     0.000  -0.518706   0.028601   0.065741   0.094342  -0.000000   0.000000   0.139282   0.000000   0.000000   15.0000     0.1549
  -15.500     0.000  -0.476091   0.026436   0.082863   0.109298  -0.000000   0.000000   0.134965   0.000000   0.000000   15.0000     0.1585
  -15.000     0.000  -0.433359   0.024419   0.127824   0.152243  -0.000000   0.000000   0.130782  -0.000000   0.000000   15.0000     0.1630
  -14.500     0.000  -0.390515   0.022553   0.216597   0.239150  -0.000000   0.000000   0.126839  -0.000000   0.000000   15.0000     0.1684
  -14.000     0.000  -0.347566   0.020841   0.206628   0.227469  -0.000000   0.000000   0.121893   0.000000   0.000000   15.0000     0.1752
  -13.500     0.000  -0.304521   0.019284   0.198571   0.217855  -0.000000   0.000000   0.116860   0.000000   0.000000   15.0000     0.1840
  -13.000     0.000  -0.261387   0.017885   0.191192   0.209076  -0.000000   0.000000   0.111742   0.000000   0.000000   15.0000     0.1957
  -12.500     0.000  -0.218171   0.016644   0.183999   0.200643  -0.000000   0.000000   0.106538   0.000000   0.000000   15.0000     0.2121
  -12.000     0.000  -0.174880   0.015565   0.176810   0.192374  -0.000000   0.000000   0.101237   0.000000   0.000000   15.0000     0.2367
  -11.500     0.000  -0.131523   0.014647   0.169500   0.184147  -0.000000  -0.000000   0.095838   0.000000   0.000000   15.0000     0.2776
  -11.000     0.000  -0.088106   0.013893   0.162184   0.176077  -0.000000  -0.000000   0.090338   0.000000   0.000000   15.0000     0.3590
  -10.500     0.000  -0.044638   0.013305   0.155317   0.168622  -0.000000  -0.000000   0.084746   0.000000   0.000000   15.0000     0.5990
  -10.000     0.000  -0.001126   0.012882   0.148561   0.161443  -0.000000  -0.000000   0.079059   0.000000   0.000000   15.0000    19.3985
   -9.500     0.000   0.042422   0.012627   0.141794   0.154421  -0.000000  -0.000000   0.073274   0.000000   0.000000   15.0000    -0.3997
   -9.000     0.000   0.085999   0.012539   0.135020   0.147560  -0.000000  -0.000000   0.067393   0.000000   0.000000   15.0000    -0.1402
   -8.500     0.000   0.129596   0.012621   0.128234   0.140855  -0.000000  -0.000000   0.061424   0.000000   0.000000   15.0000    -0.0553
   -8.000     0.000   0.173207   0.012872   0.121436   0.134308  -0.000000  -0.000000   0.055369   0.000000   0.000000   15.0000    -0.0131
   -7.500     0.000   0.216822   0.013293   0.114232   0.127525  -0.000000  -0.000000   0.049228   0.000000   0.000000   15.0000     0.0121
   -7.000     0.000   0.260435   0.013884   0.106577   0.120462  -0.000000  -0.000000   0.043001   0.000000   0.000000   15.0000     0.0289
   -6.500     0.000   0.304037   0.014647   0.098919   0.113566  -0.000000  -0.000000   0.036694   0.000000   0.000000   15.0000     0.0408
   -6.000     0.000   0.347621   0.015579   0.091329   0.106909  -0.000000  -0.000000   0.030299   0.000000   0.000000   15.0000     0.0498
   -5.500     0.000   0.391179   0.016683   0.084084   0.100767  -0.000000  -0.000000   0.023823   0.000000   0.000000   15.0000     0.0568
   -5.000     0.000   0.434703   0.017958   0.078174   0.096132  -0.000000  -0.000000   0.017277   0.000000   0.000000   15.0000     0.0623
   -4.500     0.000   0.478186   0.019403   0.073193   0.092595  -0.000000  -0.000000   0.010661   0.000000   0.000000   15.0000     0.0669
   -4.000     0.000   0.521619   0.021017   0.068856   0.089873   0.000000  -0.000000   0.003976   0.000000  -0.000000   15.0000     0.0707
   -3.500     0.000   0.564994   0.022802   0.065022   0.087824   0.000000  -0.000000  -0.002777   0.000000  -0.000000   15.0000     0.0739
   -3.000     0.000   0.608304   0.024755   0.061797   0.086552   0.000000  -0.000000  -0.009593   0.000000  -0.000000   15.0000     0.0767
   -2.500     0.000   0.651542   0.026876   0.058832   0.085708   0.000000  -0.000000  -0.016473   0.000000  -0.000000   15.0000     0.0791
   -2.000     0.000   0.694699   0.029164   0.056016   0.085181   0.000000  -0.000000  -0.023418   0.000000  -0.000000   15.0000     0.0812
   -1.500     0.000   0.737767   0.031619   0.053547   0.085166   0.000000  -0.000000  -0.030424   0.000000  -0.000000   15.0000     0.0830
   -1.000     0.000   0.780740   0.034238   0.051317   0.085555   0.000000  -0.000000  -0.037491   0.000000  -0.000000   15.0000     0.0847
   -0.500     0.000   0.823609   0.037021   0.049359   0.086380   0.000000  -0.000000  -0.044616   0.000000  -0.000000   15.0000     0.0862
    0.000     0.000   0.866366   0.039966   0.047524   0.087490   0.000000  -0.000000  -0.051800   0.000000  -0.000000   15.0000     0.0875
    0.500     0.000   0.909005   0.043072   0.045770   0.088842   0.000000  -0.000000  -0.059037   0.000000  -0.000000   15.0000     0.0888
    1.000     0.000   0.951518   0.046337   0.044076   0.090413   0.000000  -0.000000  -0.066327   0.000000  -0.000000   15.0000     0.0899
    1.500     0.000   0.993897   0.049759   0.042420   0.092179   0.000000  -0.000000  -0.073665   0.000000  -0.000000   15.0000     0.0909
    2.000     0.000   1.036135   0.053336   0.040799   0.094135   0.000000  -0.000000  -0.081051   0.000000  -0.000000   15.0000     0.0919
    2.500     0.000   1.078224   0.057066   0.039192   0.096258   0.000000  -0.000000  -0.088482   0.000000  -0.000000   15.0000     0.0928
    3.000     0.000   1.120157   0.060948   0.037648   0.098596   0.000000  -0.000000  -0.095957   0.000000  -0.000000   15.0000     0.0936
    3.500     0.000   1.161927   0.064978   0.036142   0.101120   0.000000  -0.000000  -0.103473   0.000000  -0.000000   15.0000     0.0944
    4.000     0.000   1.203527   0.069155   0.034657   0.103811   0.000000  -0.000000  -0.111026   0.000000  -0.000000   15.0000     0.0951
    4.500     0.000   1.244950   0.073475   0.033439   0.106914   0.000000  -0.000000  -0.118615   0.000000  -0.000000   15.0000     0.0958
    5.000     0.000   1.286188   0.077937   0.032640   0.110577   0.000000  -0.000000  -0.126240  -0.000000  -0.000000   15.0000     0.0964
    5.500     0.000   1.327236   0.082537   0.032035   0.114571   0.000000  -0.000000  -0.133897  -0.000000  -0.000000   15.0000     0.0970
    6.000     0.000   1.368084   0.087273   0.031579   0.118852   0.000000  -0.000000  -0.141583  -0.000000  -0.000000   15.0000     0.0976
    6.500     0.000   1.408728   0.092141   0.031241   0.123382   0.000000  -0.000000  -0.149297  -0.000000  -0.000000   15.0000     0.0982
