xflr5 v6.39

Plane name : CA2013 - 1,8 x 0,25
Polar name : T1-15.0 m/s-VLM2-proj_area
Freestream speed : 15.000 m/s


alpha Beta CL CDi CDv CD CY Cl Cm Cn Cni QInf XCP
-20.000 0.000 -0.881713 0.059188 0.023265 0.082453 -0.000000 0.000000 0.355596 0.000000 0.000000 15.0000 0.1590
-19.500 0.000 -0.840518 0.055818 0.022834 0.078652 -0.000000 0.000000 0.344747 0.000000 0.000000 15.0000 0.1612
-19.000 0.000 -0.799146 0.052572 0.022379 0.074951 -0.000000 0.000000 0.333988 0.000000 0.000000 15.0000 0.1636
-18.500 0.000 -0.757602 0.049452 0.022004 0.071456 -0.000000 0.000000 0.323371 0.000000 0.000000 15.0000 0.1664
-18.000 0.000 -0.715894 0.046461 0.031246 0.077707 -0.000000 0.000000 0.316247 0.000000 0.000000 15.0000 0.1694
-17.500 0.000 -0.674029 0.043602 0.030513 0.074116 -0.000000 0.000000 0.305736 0.000000 0.000000 15.0000 0.1729
-17.000 0.000 -0.632013 0.040879 0.039409 0.080288 -0.000000 0.000000 0.298739 -0.000000 0.000000 15.0000 0.1768
-16.500 0.000 -0.589852 0.038293 0.047994 0.086287 -0.000000 0.000000 0.291763 -0.000000 0.000000 15.0000 0.1814
-16.000 0.000 -0.547555 0.035848 0.066028 0.101876 -0.000000 0.000000 0.288266 -0.000000 0.000000 15.0000 0.1867
-15.500 0.000 -0.505128 0.033546 0.083192 0.116738 -0.000000 0.000000 0.284613 -0.000000 0.000000 15.0000 0.1928
-15.000 0.000 -0.462578 0.031390 0.128297 0.159687 -0.000000 0.000000 0.291024 -0.000000 0.000000 15.0000 0.2002
-14.500 0.000 -0.419912 0.029381 0.217459 0.246840 -0.000000 0.000000 0.313268 -0.000000 0.000000 15.0000 0.2091
-14.000 0.000 -0.377137 0.027523 0.207305 0.234827 -0.000000 0.000000 0.300389 -0.000000 0.000000 15.0000 0.2201
