Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e376-il-200000
Airfoil,e376-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,92.6533
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-e376-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.1709,0.09802,0.09517,-0.0174,1.0000,0.0097
-8.500,-0.1632,0.09591,0.09312,-0.0187,1.0000,0.0097
-8.250,-0.1562,0.09400,0.09129,-0.0200,1.0000,0.0097
-8.000,-0.1453,0.09189,0.08924,-0.0228,0.9855,0.0098
-3.250,0.2084,0.05377,0.04948,-0.0774,0.7046,0.0154
-3.000,0.2297,0.05058,0.04620,-0.0790,0.6972,0.0159
-2.750,0.2580,0.04814,0.04370,-0.0819,0.6885,0.0167
-2.500,0.2891,0.04597,0.04140,-0.0850,0.6809,0.0176
-2.250,0.3221,0.04388,0.03921,-0.0883,0.6733,0.0188
-2.000,0.3569,0.04195,0.03717,-0.0916,0.6664,0.0205
-1.750,0.4149,0.04351,0.03844,-0.0974,0.6584,0.0228
-1.500,0.4497,0.04127,0.03608,-0.1003,0.6520,0.0231
-1.250,0.4665,0.03665,0.03148,-0.1012,0.6458,0.0242
-1.000,0.4954,0.03464,0.02933,-0.1031,0.6402,0.0255
-0.750,0.5278,0.03304,0.02767,-0.1052,0.6332,0.0272
-0.500,0.5611,0.03167,0.02612,-0.1071,0.6278,0.0292
-0.250,0.5965,0.03070,0.02506,-0.1090,0.6214,0.0318
0.000,0.6385,0.03145,0.02555,-0.1106,0.6156,0.0333
0.250,0.6720,0.02979,0.02375,-0.1122,0.6101,0.0338
0.500,0.6960,0.02675,0.02071,-0.1136,0.6043,0.0358
0.750,0.7258,0.02554,0.01936,-0.1145,0.5995,0.0387
1.000,0.7584,0.02478,0.01850,-0.1154,0.5938,0.0433
1.250,0.7931,0.02410,0.01762,-0.1161,0.5883,0.0470
1.500,0.8203,0.02279,0.01620,-0.1168,0.5838,0.0525
1.750,0.8560,0.02364,0.01683,-0.1165,0.5777,0.0581
2.000,0.8824,0.02133,0.01449,-0.1176,0.5729,0.0610
2.250,0.9111,0.02069,0.01374,-0.1178,0.5681,0.0664
2.500,0.9420,0.02026,0.01318,-0.1178,0.5624,0.0722
2.750,0.9697,0.01952,0.01233,-0.1180,0.5578,0.0773
3.000,0.9993,0.01914,0.01184,-0.1178,0.5527,0.0851
3.250,1.0274,0.01853,0.01117,-0.1178,0.5472,0.0887
3.500,1.0550,0.01818,0.01067,-0.1177,0.5429,0.1135
3.750,1.0874,0.01652,0.00860,-0.1169,0.5381,0.0548
4.000,1.1147,0.01604,0.00798,-0.1165,0.5327,0.0718
4.250,1.1408,0.01641,0.00835,-0.1163,0.5282,0.1140
4.500,1.1672,0.01632,0.00827,-0.1160,0.5221,0.1227
4.750,1.1936,0.01628,0.00821,-0.1157,0.5166,0.1328
5.000,1.2202,0.01632,0.00830,-0.1155,0.5111,0.1483
5.250,1.2461,0.01632,0.00836,-0.1151,0.5042,0.1697
5.500,1.2726,0.01637,0.00831,-0.1148,0.4991,0.1967
5.750,1.2983,0.01644,0.00854,-0.1146,0.4917,0.2382
6.000,1.3265,0.01575,0.00856,-0.1147,0.4859,1.0000
6.250,1.3517,0.01593,0.00887,-0.1143,0.4777,1.0000
6.500,1.3776,0.01607,0.00890,-0.1138,0.4713,1.0000
6.750,1.4024,0.01623,0.00921,-0.1134,0.4625,1.0000
7.000,1.4277,0.01637,0.00935,-0.1129,0.4550,1.0000
7.250,1.4526,0.01647,0.00954,-0.1124,0.4457,1.0000
7.500,1.4771,0.01660,0.00979,-0.1119,0.4357,1.0000
7.750,1.5017,0.01672,0.01005,-0.1113,0.4256,1.0000
8.000,1.5259,0.01683,0.01023,-0.1107,0.4143,1.0000
8.250,1.5494,0.01693,0.01047,-0.1100,0.3996,1.0000
8.500,1.5714,0.01696,0.01057,-0.1091,0.3740,1.0000
8.750,1.5925,0.01724,0.01089,-0.1082,0.3417,1.0000
9.000,1.6099,0.01798,0.01149,-0.1070,0.2898,1.0000
9.250,1.6229,0.01940,0.01258,-0.1056,0.2272,1.0000
9.500,1.6307,0.02142,0.01421,-0.1038,0.1671,1.0000
9.750,1.6350,0.02370,0.01613,-0.1018,0.1124,1.0000
10.000,1.6302,0.02663,0.01861,-0.0988,0.0546,1.0000
10.250,1.6178,0.02966,0.02140,-0.0948,0.0269,1.0000
10.500,1.6066,0.03236,0.02416,-0.0913,0.0214,1.0000
10.750,1.6011,0.03502,0.02701,-0.0892,0.0195,1.0000
11.000,1.5963,0.03797,0.03015,-0.0879,0.0182,1.0000
11.250,1.5913,0.04119,0.03355,-0.0870,0.0171,1.0000
11.500,1.5858,0.04468,0.03718,-0.0865,0.0159,1.0000
11.750,1.5781,0.04859,0.04121,-0.0862,0.0148,1.0000
12.000,1.5671,0.05304,0.04580,-0.0861,0.0140,1.0000
12.250,1.5555,0.05766,0.05059,-0.0860,0.0135,1.0000
12.500,1.5476,0.06184,0.05489,-0.0857,0.0131,1.0000
12.750,1.5443,0.06545,0.05864,-0.0854,0.0129,1.0000
13.000,1.5419,0.06896,0.06230,-0.0848,0.0126,1.0000
13.250,1.5409,0.07235,0.06584,-0.0841,0.0124,1.0000
13.500,1.5413,0.07564,0.06928,-0.0833,0.0122,1.0000
13.750,1.5425,0.07899,0.07281,-0.0824,0.0120,1.0000
14.000,1.5431,0.08263,0.07666,-0.0817,0.0120,1.0000
14.250,1.5417,0.08674,0.08100,-0.0813,0.0120,1.0000
