Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n2415-il-200000
Airfoil,n2415-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,64.1557
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n2415-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.250,-0.7841,0.07840,0.07388,-0.0595,1.0000,0.0563
-14.000,-0.8778,0.06085,0.05586,-0.0730,1.0000,0.0548
-13.750,-0.9147,0.05409,0.04880,-0.0764,1.0000,0.0547
-13.500,-0.9374,0.04984,0.04432,-0.0769,1.0000,0.0549
-13.250,-0.9551,0.04665,0.04090,-0.0758,1.0000,0.0553
-13.000,-0.9710,0.04414,0.03818,-0.0731,1.0000,0.0557
-12.750,-0.9869,0.04216,0.03600,-0.0688,1.0000,0.0562
-12.500,-0.9983,0.04024,0.03384,-0.0647,1.0000,0.0568
-12.250,-1.0073,0.03850,0.03181,-0.0605,1.0000,0.0576
-12.000,-1.0083,0.03670,0.02981,-0.0572,1.0000,0.0585
-11.750,-0.9949,0.03556,0.02875,-0.0555,1.0000,0.0597
-11.500,-0.9867,0.03462,0.02777,-0.0529,1.0000,0.0609
-11.250,-0.9796,0.03357,0.02662,-0.0501,1.0000,0.0623
-11.000,-0.9739,0.03239,0.02524,-0.0470,1.0000,0.0637
-10.750,-0.9688,0.03126,0.02382,-0.0437,1.0000,0.0649
-10.500,-0.9557,0.02985,0.02244,-0.0418,1.0000,0.0664
-10.250,-0.9423,0.02910,0.02173,-0.0397,1.0000,0.0681
-10.000,-0.9303,0.02834,0.02088,-0.0374,1.0000,0.0701
-9.750,-0.9185,0.02753,0.01987,-0.0350,1.0000,0.0721
-9.500,-0.9048,0.02643,0.01869,-0.0329,1.0000,0.0741
-9.250,-0.8892,0.02571,0.01804,-0.0312,1.0000,0.0762
-9.000,-0.8740,0.02511,0.01739,-0.0293,1.0000,0.0788
-8.750,-0.8589,0.02453,0.01661,-0.0274,1.0000,0.0815
-8.500,-0.8421,0.02360,0.01575,-0.0259,1.0000,0.0842
-8.250,-0.8249,0.02311,0.01527,-0.0244,1.0000,0.0873
-8.000,-0.8074,0.02266,0.01468,-0.0228,1.0000,0.0908
-7.750,-0.7869,0.02189,0.01398,-0.0220,0.9995,0.0946
-7.500,-0.7482,0.02140,0.01345,-0.0246,0.9956,0.1003
-7.250,-0.7104,0.02070,0.01278,-0.0271,0.9919,0.1064
-7.000,-0.6729,0.02029,0.01228,-0.0293,0.9869,0.1136
-6.750,-0.6337,0.01964,0.01175,-0.0321,0.9830,0.1217
-6.500,-0.5979,0.01907,0.01119,-0.0340,0.9775,0.1305
-6.250,-0.5590,0.01869,0.01076,-0.0364,0.9723,0.1410
-6.000,-0.5168,0.01820,0.01034,-0.0396,0.9690,0.1537
-5.750,-0.4858,0.01770,0.00993,-0.0405,0.9613,0.1659
-5.500,-0.4457,0.01724,0.00954,-0.0431,0.9570,0.1816
-5.250,-0.4078,0.01683,0.00919,-0.0453,0.9523,0.1986
-5.000,-0.3745,0.01643,0.00886,-0.0465,0.9451,0.2164
-4.750,-0.3328,0.01601,0.00850,-0.0493,0.9413,0.2380
-4.500,-0.2887,0.01553,0.00816,-0.0527,0.9389,0.2617
-4.250,-0.2616,0.01521,0.00792,-0.0525,0.9290,0.2827
-4.000,-0.2213,0.01480,0.00758,-0.0549,0.9250,0.3094
-3.750,-0.1889,0.01440,0.00731,-0.0557,0.9181,0.3343
-3.500,-0.1565,0.01401,0.00702,-0.0564,0.9105,0.3619
-3.250,-0.1197,0.01353,0.00667,-0.0579,0.9060,0.3924
-3.000,-0.0944,0.01322,0.00648,-0.0572,0.8950,0.4223
-2.750,-0.0612,0.01277,0.00617,-0.0578,0.8889,0.4589
-2.500,-0.0365,0.01247,0.00602,-0.0568,0.8775,0.4958
-2.250,-0.0055,0.01206,0.00577,-0.0569,0.8704,0.5381
-2.000,0.0183,0.01181,0.00568,-0.0557,0.8579,0.5791
-1.750,0.0455,0.01153,0.00553,-0.0549,0.8478,0.6216
-1.500,0.0719,0.01129,0.00541,-0.0540,0.8364,0.6624
-1.250,0.0969,0.01112,0.00536,-0.0528,0.8238,0.7011
-1.000,0.1237,0.01096,0.00528,-0.0518,0.8124,0.7382
-0.750,0.1494,0.01086,0.00524,-0.0506,0.7995,0.7731
-0.500,0.1744,0.01082,0.00525,-0.0493,0.7855,0.8064
-0.250,0.2006,0.01082,0.00527,-0.0481,0.7724,0.8365
0.000,0.2279,0.01085,0.00526,-0.0471,0.7597,0.8648
0.250,0.2563,0.01094,0.00534,-0.0464,0.7450,0.8890
0.500,0.2869,0.01107,0.00542,-0.0462,0.7303,0.9108
0.750,0.3212,0.01122,0.00550,-0.0469,0.7161,0.9292
1.000,0.3597,0.01139,0.00556,-0.0485,0.7018,0.9440
1.250,0.4013,0.01155,0.00561,-0.0508,0.6874,0.9566
1.500,0.4447,0.01171,0.00569,-0.0538,0.6716,0.9681
1.750,0.4933,0.01182,0.00573,-0.0579,0.6557,0.9763
2.000,0.5396,0.01193,0.00575,-0.0617,0.6401,0.9855
2.250,0.5865,0.01202,0.00575,-0.0657,0.6247,0.9943
2.500,0.6283,0.01209,0.00572,-0.0687,0.6098,1.0000
2.750,0.6497,0.01215,0.00570,-0.0677,0.5966,1.0000
3.000,0.6703,0.01223,0.00574,-0.0665,0.5830,1.0000
3.250,0.6913,0.01234,0.00579,-0.0653,0.5702,1.0000
3.500,0.7126,0.01249,0.00583,-0.0641,0.5581,1.0000
3.750,0.7329,0.01260,0.00594,-0.0628,0.5446,1.0000
4.000,0.7535,0.01276,0.00605,-0.0614,0.5316,1.0000
4.250,0.7743,0.01294,0.00615,-0.0600,0.5191,1.0000
4.500,0.7948,0.01311,0.00628,-0.0586,0.5058,1.0000
4.750,0.8149,0.01328,0.00644,-0.0571,0.4920,1.0000
5.000,0.8352,0.01348,0.00660,-0.0556,0.4786,1.0000
5.250,0.8557,0.01371,0.00676,-0.0541,0.4654,1.0000
5.500,0.8756,0.01392,0.00693,-0.0525,0.4513,1.0000
5.750,0.8953,0.01413,0.00713,-0.0509,0.4366,1.0000
6.000,0.9149,0.01436,0.00735,-0.0493,0.4218,1.0000
6.250,0.9344,0.01461,0.00756,-0.0477,0.4068,1.0000
6.500,0.9537,0.01487,0.00778,-0.0460,0.3912,1.0000
6.750,0.9726,0.01516,0.00803,-0.0443,0.3749,1.0000
7.000,0.9914,0.01548,0.00830,-0.0427,0.3578,1.0000
7.250,1.0098,0.01582,0.00860,-0.0410,0.3403,1.0000
7.500,1.0278,0.01620,0.00894,-0.0392,0.3222,1.0000
7.750,1.0454,0.01662,0.00931,-0.0374,0.3038,1.0000
8.000,1.0622,0.01708,0.00972,-0.0356,0.2852,1.0000
8.250,1.0782,0.01760,0.01017,-0.0337,0.2666,1.0000
8.500,1.0932,0.01817,0.01067,-0.0316,0.2483,1.0000
8.750,1.1071,0.01879,0.01122,-0.0294,0.2306,1.0000
9.000,1.1195,0.01946,0.01181,-0.0271,0.2137,1.0000
9.250,1.1302,0.02016,0.01245,-0.0244,0.1982,1.0000
9.500,1.1408,0.02093,0.01316,-0.0219,0.1836,1.0000
9.750,1.1514,0.02175,0.01395,-0.0195,0.1702,1.0000
10.000,1.1617,0.02265,0.01482,-0.0172,0.1581,1.0000
10.250,1.1709,0.02366,0.01578,-0.0149,0.1477,1.0000
10.500,1.1787,0.02479,0.01683,-0.0126,0.1384,1.0000
10.750,1.1899,0.02577,0.01787,-0.0108,0.1294,1.0000
11.000,1.1977,0.02703,0.01908,-0.0088,0.1222,1.0000
11.250,1.2068,0.02821,0.02028,-0.0071,0.1153,1.0000
11.500,1.2147,0.02957,0.02165,-0.0053,0.1094,1.0000
11.750,1.2233,0.03088,0.02298,-0.0038,0.1039,1.0000
12.000,1.2304,0.03242,0.02450,-0.0022,0.0992,1.0000
12.250,1.2392,0.03380,0.02596,-0.0010,0.0946,1.0000
12.500,1.2457,0.03546,0.02754,0.0004,0.0908,1.0000
12.750,1.2540,0.03700,0.02921,0.0015,0.0871,1.0000
13.000,1.2615,0.03860,0.03085,0.0025,0.0837,1.0000
13.250,1.2698,0.04029,0.03243,0.0037,0.0806,1.0000
13.500,1.2760,0.04207,0.03440,0.0046,0.0779,1.0000
13.750,1.2826,0.04385,0.03625,0.0053,0.0751,1.0000
14.000,1.2905,0.04557,0.03792,0.0061,0.0728,1.0000
14.250,1.2975,0.04748,0.03991,0.0070,0.0705,1.0000
14.500,1.3019,0.04957,0.04214,0.0075,0.0684,1.0000
14.750,1.3077,0.05155,0.04416,0.0080,0.0663,1.0000
15.000,1.3181,0.05314,0.04568,0.0087,0.0644,1.0000
15.250,1.3220,0.05546,0.04814,0.0093,0.0628,1.0000
15.500,1.3227,0.05808,0.05094,0.0095,0.0613,1.0000
15.750,1.3256,0.06052,0.05348,0.0096,0.0597,1.0000
16.000,1.3313,0.06264,0.05562,0.0098,0.0583,1.0000
16.250,1.3455,0.06400,0.05688,0.0107,0.0566,1.0000
16.500,1.3387,0.06760,0.06072,0.0102,0.0557,1.0000
16.750,1.3343,0.07109,0.06442,0.0097,0.0546,1.0000
17.000,1.3304,0.07460,0.06810,0.0090,0.0536,1.0000
17.250,1.3288,0.07788,0.07150,0.0084,0.0526,1.0000
17.500,1.3314,0.08059,0.07424,0.0080,0.0516,1.0000
17.750,1.3475,0.08156,0.07510,0.0090,0.0504,1.0000
18.000,1.3339,0.08656,0.08035,0.0073,0.0498,1.0000
18.250,1.3168,0.09228,0.08633,0.0050,0.0493,1.0000
18.500,1.2992,0.09830,0.09260,0.0023,0.0488,1.0000
18.750,1.2802,0.10481,0.09935,-0.0008,0.0483,1.0000
19.000,1.2592,0.11193,0.10670,-0.0045,0.0479,1.0000
19.250,1.2332,0.12028,0.11530,-0.0093,0.0476,1.0000
