  
       XFOIL         Version 6.96
  
 Calculated polar for: S1223                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.500   0.0364   0.10133   0.09809  -0.0680   0.9421   0.0345
  -6.250   0.0469   0.09868   0.09546  -0.0718   0.9334   0.0354
  -6.000   0.0508   0.09669   0.09349  -0.0763   0.9232   0.0356
  -5.750   0.0806   0.09179   0.08861  -0.0765   0.9190   0.0363
  -5.500   0.1067   0.08822   0.08503  -0.0800   0.9150   0.0373
  -5.250   0.1164   0.08572   0.08257  -0.0804   0.9030   0.0382
  -5.000   0.1245   0.08324   0.08011  -0.0809   0.8906   0.0394
  -4.750   0.1269   0.08100   0.07789  -0.0827   0.8762   0.0407
  -4.500   0.1391   0.07730   0.07421  -0.0888   0.8604   0.0412
  -4.250   0.1638   0.07385   0.07075  -0.0875   0.8526   0.0420
  -4.000   0.1856   0.07076   0.06763  -0.0892   0.8355   0.0435
  -3.750   0.2183   0.06637   0.06318  -0.0983   0.8131   0.0468
  -3.500   0.2671   0.06098   0.05766  -0.1085   0.7882   0.0484
  -3.250   0.3591   0.05325   0.04961  -0.1352   0.7497   0.0549
  -3.000   0.4521   0.04675   0.04260  -0.1598   0.6965   0.0630
  -2.750   0.4529   0.04601   0.04165  -0.1524   0.6584   0.0639
  -2.500   0.5218   0.04093   0.03616  -0.1705   0.6254   0.0733
  -2.250   0.5219   0.04093   0.03605  -0.1634   0.6040   0.0747
  -2.000   0.7757   0.02427   0.01766  -0.2308   0.5711   0.0721
  -1.750   0.9027   0.01890   0.01064  -0.2530   0.5513   0.0481
  -1.500   0.9431   0.01846   0.01006  -0.2557   0.5387   0.0518
  -1.000   1.0263   0.01778   0.00904  -0.2611   0.5177   0.0572
  -0.750   1.0687   0.01778   0.00887  -0.2641   0.5086   0.0644
  -0.500   1.1086   0.01768   0.00875  -0.2666   0.5000   0.0749
  -0.250   1.1554   0.01758   0.00895  -0.2707   0.4921   0.2576
   0.000   1.1864   0.01804   0.00925  -0.2712   0.4860   0.2928
   0.250   1.2135   0.01838   0.00963  -0.2708   0.4801   0.3263
   0.500   1.2420   0.01874   0.00993  -0.2708   0.4745   0.3552
   0.750   1.2746   0.01909   0.01014  -0.2717   0.4694   0.3719
   1.000   1.3047   0.01928   0.01035  -0.2720   0.4644   0.3835
   1.250   1.3344   0.01947   0.01053  -0.2723   0.4595   0.3972
   1.500   1.3650   0.01971   0.01072  -0.2728   0.4552   0.4129
   1.750   1.3971   0.02001   0.01095  -0.2736   0.4513   0.4310
   2.000   1.4305   0.02039   0.01132  -0.2747   0.4474   0.4534
   2.250   1.4588   0.02059   0.01164  -0.2747   0.4435   0.4800
   2.500   1.4884   0.02083   0.01197  -0.2750   0.4395   0.5136
   2.750   1.5190   0.02110   0.01232  -0.2755   0.4359   0.5572
   3.000   1.5503   0.02140   0.01269  -0.2761   0.4327   0.6156
   3.250   1.5826   0.02183   0.01318  -0.2769   0.4296   0.6987
   3.500   1.6008   0.02189   0.01352  -0.2746   0.4270   0.8271
   3.750   1.6172   0.02196   0.01369  -0.2721   0.4240   1.0000
   4.000   1.6448   0.02235   0.01404  -0.2720   0.4206   1.0000
   4.250   1.6730   0.02276   0.01440  -0.2721   0.4175   1.0000
   4.500   1.7018   0.02319   0.01477  -0.2723   0.4148   1.0000
   4.750   1.7319   0.02371   0.01522  -0.2728   0.4121   1.0000
   5.000   1.7614   0.02435   0.01581  -0.2732   0.4093   1.0000
