  
       XFOIL         Version 6.96
  
 Calculated polar for: SD7037-092-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.3853   0.09760   0.09408  -0.0371   1.0000   0.0447
  -8.750  -0.3896   0.09447   0.09101  -0.0393   1.0000   0.0448
  -8.500  -0.3954   0.09148   0.08809  -0.0405   1.0000   0.0449
  -8.250  -0.3858   0.08652   0.08314  -0.0364   1.0000   0.0463
  -8.000  -0.3825   0.08426   0.08092  -0.0348   1.0000   0.0471
  -7.750  -0.3859   0.08213   0.07885  -0.0334   1.0000   0.0479
  -7.500  -0.3972   0.08026   0.07706  -0.0313   1.0000   0.0485
  -7.250  -0.4103   0.07825   0.07513  -0.0296   1.0000   0.0489
  -7.000  -0.4192   0.07580   0.07273  -0.0292   1.0000   0.0497
  -6.750  -0.4270   0.07291   0.06988  -0.0296   1.0000   0.0506
  -6.500  -0.4323   0.06958   0.06656  -0.0309   1.0000   0.0518
  -6.250  -0.4341   0.06573   0.06268  -0.0331   1.0000   0.0533
  -6.000  -0.4315   0.06017   0.05654  -0.0416   1.0000   0.0564
  -5.750  -0.4294   0.05408   0.05061  -0.0412   0.9998   0.0578
  -5.500  -0.4009   0.05116   0.04774  -0.0438   0.9961   0.0598
  -5.250  -0.3676   0.04727   0.04366  -0.0486   0.9915   0.0643
  -5.000  -0.3313   0.04158   0.03755  -0.0552   0.9864   0.0723
  -4.750  -0.2953   0.03826   0.03377  -0.0597   0.9812   0.0844
  -4.500  -0.2539   0.02861   0.02274  -0.0617   0.9772   0.0454
  -4.250  -0.2166   0.02318   0.01652  -0.0635   0.9745   0.0359
  -4.000  -0.1778   0.02171   0.01473  -0.0654   0.9705   0.0350
  -3.750  -0.1435   0.01979   0.01251  -0.0666   0.9649   0.0349
  -3.500  -0.1045   0.01793   0.01047  -0.0686   0.9614   0.0357
  -3.250  -0.0629   0.01669   0.00926  -0.0714   0.9585   0.0396
  -3.000  -0.0317   0.01598   0.00849  -0.0719   0.9505   0.0435
  -2.750   0.0092   0.01486   0.00740  -0.0744   0.9466   0.0506
  -2.500   0.0466   0.01362   0.00646  -0.0763   0.9413   0.1137
  -2.250   0.0816   0.01262   0.00613  -0.0782   0.9348   0.2771
  -2.000   0.1196   0.01150   0.00602  -0.0805   0.9309   0.5299
  -1.750   0.1446   0.01092   0.00599  -0.0793   0.9219   0.6910
  -1.500   0.1748   0.01045   0.00584  -0.0784   0.9164   0.8170
  -1.250   0.2094   0.01016   0.00566  -0.0784   0.9093   0.9276
  -1.000   0.2755   0.00984   0.00520  -0.0857   0.9062   1.0000
  -0.750   0.3068   0.00966   0.00489  -0.0861   0.8976   1.0000
  -0.500   0.3339   0.00951   0.00462  -0.0855   0.8866   1.0000
  -0.250   0.3591   0.00940   0.00440  -0.0846   0.8741   1.0000
   0.000   0.3850   0.00929   0.00419  -0.0837   0.8617   1.0000
   0.250   0.4111   0.00919   0.00399  -0.0829   0.8488   1.0000
   0.500   0.4373   0.00910   0.00381  -0.0821   0.8349   1.0000
   0.750   0.4634   0.00904   0.00366  -0.0813   0.8199   1.0000
   1.000   0.4896   0.00901   0.00353  -0.0805   0.8037   1.0000
   1.250   0.5158   0.00899   0.00342  -0.0798   0.7865   1.0000
   1.500   0.5423   0.00901   0.00333  -0.0791   0.7687   1.0000
   1.750   0.5683   0.00908   0.00329  -0.0784   0.7492   1.0000
   2.000   0.5942   0.00917   0.00328  -0.0777   0.7286   1.0000
   2.250   0.6203   0.00930   0.00330  -0.0770   0.7085   1.0000
   2.500   0.6459   0.00945   0.00336  -0.0764   0.6865   1.0000
   2.750   0.6715   0.00963   0.00342  -0.0757   0.6651   1.0000
   3.000   0.6970   0.00982   0.00352  -0.0751   0.6426   1.0000
   3.250   0.7223   0.01004   0.00364  -0.0744   0.6205   1.0000
   3.500   0.7475   0.01026   0.00379  -0.0737   0.5977   1.0000
   3.750   0.7725   0.01051   0.00393  -0.0731   0.5749   1.0000
   4.000   0.7974   0.01076   0.00412  -0.0724   0.5515   1.0000
   4.250   0.8220   0.01106   0.00432  -0.0717   0.5285   1.0000
   4.500   0.8465   0.01134   0.00454  -0.0710   0.5044   1.0000
   4.750   0.8708   0.01165   0.00478  -0.0703   0.4807   1.0000
   5.000   0.8948   0.01199   0.00503  -0.0696   0.4566   1.0000
   5.250   0.9187   0.01233   0.00534  -0.0689   0.4321   1.0000
   5.500   0.9422   0.01272   0.00564  -0.0681   0.4082   1.0000
   5.750   0.9655   0.01311   0.00598  -0.0674   0.3836   1.0000
   6.000   0.9886   0.01353   0.00636  -0.0666   0.3595   1.0000
   6.250   1.0111   0.01401   0.00675  -0.0657   0.3365   1.0000
   6.500   1.0339   0.01446   0.00718  -0.0650   0.3125   1.0000
   6.750   1.0558   0.01499   0.00763  -0.0641   0.2899   1.0000
   7.000   1.0777   0.01550   0.00812  -0.0632   0.2672   1.0000
   7.250   1.0990   0.01608   0.00864  -0.0623   0.2463   1.0000
   7.500   1.1204   0.01664   0.00920  -0.0613   0.2259   1.0000
   7.750   1.1409   0.01729   0.00979  -0.0603   0.2075   1.0000
   8.000   1.1612   0.01795   0.01045  -0.0593   0.1896   1.0000
   8.250   1.1813   0.01857   0.01108  -0.0583   0.1705   1.0000
   8.500   1.1999   0.01927   0.01171  -0.0571   0.1512   1.0000
   8.750   1.2190   0.01994   0.01238  -0.0560   0.1326   1.0000
   9.000   1.2374   0.02065   0.01312  -0.0548   0.1156   1.0000
   9.250   1.2544   0.02147   0.01393  -0.0535   0.1007   1.0000
   9.500   1.2699   0.02240   0.01483  -0.0519   0.0857   1.0000
   9.750   1.2842   0.02341   0.01584  -0.0502   0.0688   1.0000
  10.000   1.2909   0.02492   0.01723  -0.0476   0.0508   1.0000
  10.250   1.2919   0.02672   0.01901  -0.0440   0.0396   1.0000
  10.500   1.2969   0.02820   0.02061  -0.0412   0.0346   1.0000
  10.750   1.2942   0.03032   0.02274  -0.0379   0.0318   1.0000
  11.000   1.3000   0.03194   0.02452  -0.0356   0.0297   1.0000
  11.250   1.3045   0.03369   0.02638  -0.0334   0.0280   1.0000
  11.500   1.3081   0.03559   0.02835  -0.0315   0.0267   1.0000
  11.750   1.3092   0.03798   0.03078  -0.0296   0.0254   1.0000
  12.000   1.3132   0.04031   0.03325  -0.0281   0.0243   1.0000
  12.250   1.3187   0.04240   0.03551  -0.0267   0.0235   1.0000
  12.500   1.3236   0.04476   0.03804  -0.0255   0.0229   1.0000
  12.750   1.3270   0.04734   0.04079  -0.0244   0.0222   1.0000
  13.000   1.3298   0.05007   0.04373  -0.0235   0.0219   1.0000
  13.250   1.3307   0.05305   0.04689  -0.0229   0.0215   1.0000
  13.500   1.3300   0.05628   0.05031  -0.0224   0.0212   1.0000
  13.750   1.3267   0.05983   0.05406  -0.0223   0.0209   1.0000
  14.000   1.3212   0.06379   0.05824  -0.0225   0.0208   1.0000
  14.250   1.3132   0.06818   0.06285  -0.0232   0.0207   1.0000
  14.500   1.3027   0.07306   0.06795  -0.0244   0.0206   1.0000
  14.750   1.2891   0.07861   0.07375  -0.0264   0.0207   1.0000
  15.000   1.2727   0.08487   0.08026  -0.0291   0.0207   1.0000
  15.250   1.2544   0.09183   0.08746  -0.0325   0.0208   1.0000
  15.500   1.2328   0.09991   0.09579  -0.0371   0.0211   1.0000
  15.750   1.2051   0.10981   0.10596  -0.0434   0.0214   1.0000
  16.000   1.1745   0.12129   0.11770  -0.0511   0.0218   1.0000
  16.250   1.1394   0.13503   0.13166  -0.0605   0.0223   1.0000
  16.500   1.0939   0.15334   0.15014  -0.0728   0.0234   1.0000
  16.750   1.0514   0.17296   0.16978  -0.0844   0.0246   1.0000
  17.000   1.0084   0.20023   0.19690  -0.0972   0.0314   1.0000
