x y 
EPPLER 376 AIRFOIL
1.000000 0.000000
0.997120 0.000360
0.988490 0.001450
0.974210 0.003330
0.954490 0.006140
0.929730 0.009910
0.900320 0.014580
0.866680 0.020060
0.829300 0.026270
0.788650 0.033080
0.745280 0.040360
0.699760 0.047960
0.652660 0.055660
0.604590 0.063300
0.556160 0.070670
0.507960 0.077460
0.460600 0.083350
0.414480 0.087870
0.369770 0.090730
0.326670 0.091800
0.285350 0.091060
0.245970 0.088510
0.208660 0.084330
0.173620 0.078790
0.141190 0.072170
0.111680 0.064630
0.085320 0.056400
0.062350 0.047670
0.042890 0.038650
0.027080 0.029600
0.014930 0.020780
0.006460 0.012550
0.001540 0.005280
0.000010 -0.000320
0.002080 -0.002940
0.008530 -0.002090
0.020190 0.002610
0.038120 0.011470
0.063450 0.024300
0.097450 0.040250
0.141280 0.057920
0.196020 0.074250
0.259640 0.084370
0.326150 0.086900
0.392050 0.084520
0.456540 0.079350
0.519100 0.072330
0.579250 0.064330
0.636630 0.055860
0.690930 0.047390
0.741800 0.039100
0.788850 0.031260
0.831740 0.024040
0.870160 0.017630
0.903860 0.012130
0.932640 0.007670
0.956320 0.004330
0.974960 0.002190
0.988640 0.000950
0.997120 0.000260
1.000000 0.000000
