x y 
SD7037-092-88
1.000000 0.000000
0.996720 0.000420
0.987070 0.001800
0.971460 0.004360
0.950410 0.008110
0.924500 0.012950
0.894250 0.018650
0.860150 0.024900
0.822610 0.031410
0.782010 0.037880
0.738650 0.044130
0.692940 0.050110
0.645390 0.055720
0.596550 0.060850
0.546930 0.065380
0.497060 0.069170
0.447450 0.072110
0.398620 0.074100
0.351010 0.075040
0.305080 0.074880
0.261250 0.073580
0.219890 0.071130
0.181370 0.067540
0.146010 0.062860
0.114100 0.057150
0.085860 0.050490
0.061460 0.043000
0.041020 0.034860
0.024620 0.026320
0.012320 0.017700
0.004180 0.009360
0.000210 0.001850
0.001270 -0.003930
0.008060 -0.008390
0.020380 -0.012270
0.038000 -0.015410
0.060740 -0.017770
0.088440 -0.019340
0.120840 -0.020170
0.157650 -0.020320
0.198500 -0.019870
0.242960 -0.018910
0.290550 -0.017540
0.340710 -0.015860
0.392880 -0.013960
0.446430 -0.011900
0.500740 -0.009760
0.555190 -0.007600
0.609140 -0.005490
0.661970 -0.003490
0.713050 -0.001680
0.761780 -0.000140
0.807520 0.001040
0.849640 0.001820
0.887560 0.002200
0.920710 0.002180
0.948590 0.001850
0.970770 0.001320
0.986900 0.000710
0.996710 0.000210
1.000000 0.000000
