xflr5 v6.39

Plane name :        CA2013 - Asa
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x62.3mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -20.000     0.000  -0.645765   0.017416   0.018184   0.035600  -0.000000   0.000000  -0.307857  -0.000000   0.000000   15.0000    -0.0628
  -19.500     0.000  -0.606704   0.015393   0.017750   0.033143  -0.000000   0.000000  -0.308309  -0.000000  -0.000000   15.0000    -0.0711
  -19.000     0.000  -0.567516   0.013488   0.017319   0.030807  -0.000000   0.000000  -0.308758  -0.000000  -0.000000   15.0000    -0.0806
  -18.500     0.000  -0.528207   0.011702   0.026786   0.038488  -0.000000   0.000000  -0.309225   0.000000   0.000000   15.0000    -0.0915
  -18.000     0.000  -0.488782   0.010038   0.026057   0.036095  -0.000000   0.000000  -0.309664   0.000000   0.000000   15.0000    -0.1041
  -17.500     0.000  -0.449247   0.008498   0.035172   0.043670  -0.000000   0.000000  -0.310122  -0.000000  -0.000000   15.0000    -0.1190
  -17.000     0.000  -0.409610   0.007084   0.034157   0.041241  -0.000000   0.000000  -0.310551  -0.000000  -0.000000   15.0000    -0.1368
  -16.500     0.000  -0.369876   0.005798   0.052463   0.058261  -0.000000   0.000000  -0.311020  -0.000000   0.000000   15.0000    -0.1585
  -16.000     0.000  -0.330052   0.004641   0.060347   0.064988  -0.000000   0.000000  -0.311460  -0.000000   0.000000   15.0000    -0.1854
  -15.500     0.000  -0.290145   0.003616   0.086954   0.090570  -0.000000   0.000000  -0.311938  -0.000000   0.000000   15.0000    -0.2197
  -15.000     0.000  -0.250160   0.002723   0.179874   0.182598  -0.000000   0.000000  -0.312561  -0.000000  -0.000000   15.0000    -0.2650
  -14.500     0.000  -0.210104   0.001965   0.207921   0.209886  -0.000000   0.000000  -0.313029  -0.000000   0.000000   15.0000    -0.3277
  -14.000     0.000  -0.169985   0.001342   0.199077   0.200419  -0.000000   0.000000  -0.313408  -0.000000  -0.000000   15.0000    -0.4200
  -13.500     0.000  -0.129808   0.000856   0.191421   0.192277  -0.000000   0.000000  -0.313784  -0.000000  -0.000000   15.0000    -0.5695
  -13.000     0.000  -0.089580   0.000508   0.184221   0.184729  -0.000000   0.000000  -0.314156  -0.000000   0.000000   15.0000    -0.8536
  -12.500     0.000  -0.049308   0.000299   0.177120   0.177419  -0.000000   0.000000  -0.314522  -0.000000  -0.000000   15.0000    -1.6020
  -12.000     0.000  -0.008999   0.000230   0.170024   0.170254  -0.000000   0.000000  -0.314883  -0.000000   0.000000   15.0000    -9.0580
  -11.500     0.000   0.031341   0.000302   0.162730   0.163032  -0.000000   0.000000  -0.315237  -0.000000   0.000000   15.0000     2.6810
  -11.000     0.000   0.071705   0.000516   0.155578   0.156094  -0.000000  -0.000000  -0.315586   0.000000   0.000000   15.0000     1.2068
  -10.500     0.000   0.112085   0.000872   0.148911   0.149783  -0.000000  -0.000000  -0.315930   0.000000   0.000000   15.0000     0.7944
  -10.000     0.000   0.152476   0.001370   0.142229   0.143600  -0.000000  -0.000000  -0.316267   0.000000  -0.000000   15.0000     0.6003
   -9.500     0.000   0.192871   0.002012   0.135531   0.137543  -0.000000  -0.000000  -0.316599   0.000000  -0.000000   15.0000     0.4875
   -9.000     0.000   0.233261   0.002797   0.128818   0.131615   0.000000  -0.000000  -0.316924   0.000000  -0.000000   15.0000     0.4137
   -8.500     0.000   0.273642   0.003726   0.122093   0.125818   0.000000  -0.000000  -0.317243   0.000000  -0.000000   15.0000     0.3617
   -8.000     0.000   0.314006   0.004798   0.115325   0.120123   0.000000  -0.000000  -0.317554   0.000000   0.000000   15.0000     0.3231
   -7.500     0.000   0.354345   0.006014   0.108055   0.114069   0.000000  -0.000000  -0.317859   0.000000   0.000000   15.0000     0.2932
   -7.000     0.000   0.394654   0.007373   0.100391   0.107765   0.000000  -0.000000  -0.318156   0.000000   0.000000   15.0000     0.2695
   -6.500     0.000   0.434926   0.008876   0.092844   0.101720   0.000000  -0.000000  -0.318446   0.000000   0.000000   15.0000     0.2501
