xflr5 v6.39

Plane name :        Profundor
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x57.0mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -20.000     0.000  -0.798290   0.075501   0.053657   0.129158  -0.000000  -0.000000  -0.078161  -0.000000  -0.000000   15.0000     0.0420
  -19.500     0.000  -0.775201   0.071154   0.051769   0.122923  -0.000000  -0.000000  -0.078546  -0.000000  -0.000000   15.0000     0.0413
  -19.000     0.000  -0.751928   0.066906   0.061038   0.127944  -0.000000  -0.000000  -0.079262  -0.000000   0.000000   15.0000     0.0405
  -18.500     0.000  -0.728474   0.062761   0.069430   0.132191  -0.000000  -0.000000  -0.079912  -0.000000  -0.000000   15.0000     0.0396
  -18.000     0.000  -0.704844   0.058723   0.078034   0.136757  -0.000000  -0.000000  -0.080537   0.000000  -0.000000   15.0000     0.0387
  -17.500     0.000  -0.681043   0.054794   0.097459   0.152253  -0.000000  -0.000000  -0.081311   0.000000  -0.000000   15.0000     0.0378
  -17.000     0.000  -0.657077   0.050978   0.245886   0.296865  -0.000000  -0.000000  -0.081942   0.000000  -0.000000   15.0000     0.0368
  -16.500     0.000  -0.632949   0.047279   0.223740   0.271019  -0.000000  -0.000000  -0.082245   0.000000  -0.000000   15.0000     0.0357
  -16.000     0.000  -0.608665   0.043699   0.215917   0.259615  -0.000000  -0.000000  -0.082573   0.000000  -0.000000   15.0000     0.0345
  -15.500     0.000  -0.584230   0.040242   0.205858   0.246099  -0.000000  -0.000000  -0.082881   0.000000  -0.000000   15.0000     0.0333
  -15.000     0.000  -0.559650   0.036910   0.196629   0.233539  -0.000000  -0.000000  -0.083214   0.000000  -0.000000   15.0000     0.0319
  -14.500     0.000  -0.534929   0.033706   0.187988   0.221694  -0.000000  -0.000000  -0.083563   0.000000  -0.000000   15.0000     0.0305
  -14.000     0.000  -0.510072   0.030634   0.179574   0.210208  -0.000000  -0.000000  -0.083910   0.000000   0.000000   15.0000     0.0289
  -13.500     0.000  -0.485086   0.027695   0.171329   0.199024  -0.000000  -0.000000  -0.084260   0.000000  -0.000000   15.0000     0.0271
  -13.000     0.000  -0.459976   0.024893   0.156752   0.181645  -0.000000  -0.000000  -0.084584   0.000000  -0.000000   15.0000     0.0251
  -12.500     0.000  -0.434747   0.022230   0.146285   0.168515  -0.000000  -0.000000  -0.084951   0.000000  -0.000000   15.0000     0.0229
  -12.000     0.000  -0.409405   0.019707   0.135921   0.155628  -0.000000  -0.000000  -0.085300   0.000000  -0.000000   15.0000     0.0205
  -11.500     0.000  -0.383956   0.017328   0.124930   0.142258  -0.000000  -0.000000  -0.085659   0.000000  -0.000000   15.0000     0.0177
  -11.000     0.000  -0.358405   0.015095   0.111963   0.127058  -0.000000  -0.000000  -0.086029  -0.000000  -0.000000   15.0000     0.0146
  -10.500     0.000  -0.332759   0.013009   0.096007   0.109016  -0.000000  -0.000000  -0.086426   0.000000  -0.000000   15.0000     0.0110
  -10.000     0.000  -0.307022   0.011072   0.080125   0.091197  -0.000000  -0.000000  -0.086832   0.000000  -0.000000   15.0000     0.0067
   -9.500     0.000  -0.281201   0.009287   0.072280   0.081567  -0.000000  -0.000000  -0.087255   0.000000  -0.000000   15.0000     0.0017
   -9.000     0.000  -0.255303   0.007654   0.066066   0.073720  -0.000000  -0.000000  -0.087687   0.000000  -0.000000   15.0000    -0.0043
   -8.500     0.000  -0.229332   0.006176   0.058397   0.064573  -0.000000  -0.000000  -0.088120   0.000000  -0.000000   15.0000    -0.0117
   -8.000     0.000  -0.203296   0.004854   0.050582   0.055436  -0.000000  -0.000000  -0.088557   0.000000  -0.000000   15.0000    -0.0210
   -7.500     0.000  -0.177199   0.003689   0.042901   0.046589  -0.000000  -0.000000  -0.089000   0.000000  -0.000000   15.0000    -0.0331
